Date,Open,High,Low,Close,Adj Close,Volume
2021-12-03,118.000000,118.190002,108.699997,111.959999,111.959999,70266500
2021-12-06,113.639999,123.820000,113.430000,123.599998,123.599998,43111400
2021-12-07,129.300003,129.449997,123.459999,125.540001,125.540001,38542800
2021-12-08,123.209999,126.970001,121.320000,125.080002,125.080002,22275000
2021-12-09,124.629997,127.760002,123.211998,123.910004,123.910004,23499300
2021-12-10,123.220001,125.209999,122.779999,125.059998,125.059998,15008300
2021-12-13,123.000000,123.250000,119.750000,122.239998,122.239998,15820500
2021-12-14,120.930000,127.650002,120.300003,126.580002,126.580002,17691500
2021-12-15,122.629997,123.589996,117.769997,122.470001,122.470001,24893500
2021-12-16,122.320000,125.690002,118.900002,120.250000,120.250000,22533400
2021-12-17,119.489998,122.870003,117.809998,122.099998,122.099998,19781100
2021-12-20,118.500000,118.830002,113.695000,115.000000,115.000000,23970500
2021-12-21,116.849998,122.980003,116.599998,122.980003,122.980003,18036300
2021-12-22,117.089996,118.660004,115.150002,117.809998,117.809998,24502000
2021-12-23,116.800003,119.589996,115.389999,118.660004,118.660004,17563300
2021-12-27,117.800003,121.800003,116.101997,116.589996,116.589996,17864400
2021-12-28,116.260002,116.419998,114.470001,114.800003,114.800003,17052100
2021-12-29,113.800003,114.199997,110.379997,112.089996,112.089996,21100500
2021-12-30,112.629997,124.300003,112.300003,122.989998,122.989998,45437100
2021-12-31,121.230003,122.910004,118.589996,118.790001,118.790001,24287000
2022-01-03,119.379997,121.949997,115.820000,120.379997,120.379997,16775300
2022-01-04,119.529999,120.870003,115.769997,119.559998,119.559998,20824000
2022-01-05,118.000000,126.620003,117.699997,121.160004,121.160004,36651100
2022-01-06,124.260002,128.399994,123.464996,126.629997,126.629997,32045800
2022-01-07,130.240005,133.880005,128.179993,129.809998,129.809998,38113000
2022-01-10,131.990005,132.600006,126.230003,128.300003,128.300003,23372200
2022-01-11,129.210007,134.229996,127.470001,132.190002,132.190002,23616400
2022-01-12,136.020004,138.699997,135.585007,137.410004,137.410004,25961100
2022-01-13,135.199997,135.919998,131.300003,131.369995,131.369995,19887700
2022-01-14,132.809998,134.360001,129.350006,131.570007,131.570007,18614900
2022-01-18,126.269997,132.130005,124.820000,128.600006,128.600006,26122200
2022-01-19,128.100006,130.860001,127.129997,127.739998,127.739998,14665200
2022-01-20,135.770004,136.750000,130.679993,131.029999,131.029999,28966400
2022-01-21,128.229996,128.960007,122.521004,123.230003,123.230003,26341400
2022-01-24,119.320000,120.779999,115.320000,120.370003,120.370003,28509300
2022-01-25,119.910004,122.459999,118.040001,119.139999,119.139999,22224100
2022-01-26,120.930000,120.930000,112.961998,113.370003,113.370003,27513200
2022-01-27,113.110001,114.540001,110.269997,111.790001,111.790001,21472700
2022-01-28,113.250000,115.320000,110.059998,115.230003,115.230003,18892400
2022-01-31,118.169998,125.870003,117.500000,125.790001,125.790001,20346500
2022-02-01,124.809998,128.000000,122.970001,127.220001,127.220001,15036100
2022-02-02,127.629997,127.629997,121.169998,122.879997,122.879997,14050100
2022-02-03,121.550003,125.269997,120.730003,123.470001,123.470001,16651500
2022-02-04,121.269997,123.940002,119.660004,122.220001,122.220001,13538200
2022-02-07,116.099998,116.550003,113.599998,114.820000,114.820000,28589200
2022-02-08,118.160004,122.239998,116.800003,121.900002,121.900002,22340500
2022-02-09,123.089996,126.800003,121.940002,126.500000,126.500000,18253600
2022-02-10,124.110001,128.339996,123.400002,123.980003,123.980003,16116600
2022-02-11,125.334999,126.720001,121.940002,122.250000,122.250000,13889900
2022-02-14,120.559998,122.384003,119.370003,121.919998,121.919998,13154900
